Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Czechia,7,6,3,5,7,spain,first-semi-final,stockholm,2016
Estonia,14,12,9,12,15,spain,first-semi-final,stockholm,2016
Finland,9,5,8,10,10,spain,first-semi-final,stockholm,2016
Greece,15,18,16,17,17,spain,first-semi-final,stockholm,2016
Hungary,4,2,1,4,2,spain,first-semi-final,stockholm,2016
Iceland,5,9,11,11,6,spain,first-semi-final,stockholm,2016
Malta,3,8,5,6,5,spain,first-semi-final,stockholm,2016
Moldova,13,10,13,14,16,spain,first-semi-final,stockholm,2016
Montenegro,16,16,17,18,12,spain,first-semi-final,stockholm,2016
Netherlands,1,1,10,13,9,spain,first-semi-final,stockholm,2016
Russia,11,4,6,1,3,spain,first-semi-final,stockholm,2016
SanMarino,18,17,18,16,18,spain,first-semi-final,stockholm,2016
Armenia,1,10,6,13,3,sweden,first-semi-final,stockholm,2016
Austria,9,6,14,4,17,sweden,first-semi-final,stockholm,2016
Azerbaijan,11,3,8,1,1,sweden,first-semi-final,stockholm,2016
BosniaHerzegovina,13,15,12,18,12,sweden,first-semi-final,stockholm,2016
Croatia,4,7,16,6,8,sweden,first-semi-final,stockholm,2016
Cyprus,14,5,7,12,13,sweden,first-semi-final,stockholm,2016
Czechia,3,8,5,8,5,sweden,first-semi-final,stockholm,2016
Estonia,12,16,4,16,6,sweden,first-semi-final,stockholm,2016
Finland,10,9,1,7,9,sweden,first-semi-final,stockholm,2016
Greece,15,18,18,9,15,sweden,first-semi-final,stockholm,2016
Hungary,6,11,17,11,10,sweden,first-semi-final,stockholm,2016
Iceland,8,13,11,10,11,sweden,first-semi-final,stockholm,2016
Malta,7,4,2,5,4,sweden,first-semi-final,stockholm,2016
Moldova,18,12,9,15,14,sweden,first-semi-final,stockholm,2016
Montenegro,16,14,13,17,16,sweden,first-semi-final,stockholm,2016
Netherlands,5,1,15,3,7,sweden,first-semi-final,stockholm,2016
Russia,2,2,3,2,2,sweden,first-semi-final,stockholm,2016
SanMarino,17,17,10,14,18,sweden,first-semi-final,stockholm,2016
Australia,3,1,1,2,3,albania,second-semi-final,stockholm,2016
Belarus,15,16,11,13,17,albania,second-semi-final,stockholm,2016
Belgium,16,13,14,17,16,albania,second-semi-final,stockholm,2016
Bulgaria,5,3,5,4,1,albania,second-semi-final,stockholm,2016
Denmark,10,9,8,8,6,albania,second-semi-final,stockholm,2016
Georgia,12,14,15,16,13,albania,second-semi-final,stockholm,2016
Ireland,11,17,16,14,15,albania,second-semi-final,stockholm,2016
Israel,8,5,6,7,7,albania,second-semi-final,stockholm,2016
Latvia,9,10,9,10,10,albania,second-semi-final,stockholm,2016
Lithuania,17,12,17,15,12,albania,second-semi-final,stockholm,2016
NorthMacedonia,2,2,3,1,2,albania,second-semi-final,stockholm,2016
Norway,13,15,13,11,14,albania,second-semi-final,stockholm,2016
Poland,7,8,10,9,9,albania,second-semi-final,stockholm,2016
Serbia,1,4,2,3,4,albania,second-semi-final,stockholm,2016
Slovenia,4,7,4,6,5,albania,second-semi-final,stockholm,2016
Switzerland,14,11,12,12,11,albania,second-semi-final,stockholm,2016
Ukraine,6,6,7,5,8,albania,second-semi-final,stockholm,2016
Albania,8,14,15,13,13,australia,second-semi-final,stockholm,2016
Belarus,12,3,4,5,12,australia,second-semi-final,stockholm,2016
Belgium,2,1,1,1,1,australia,second-semi-final,stockholm,2016
Bulgaria,6,4,3,6,3,australia,second-semi-final,stockholm,2016
Denmark,10,13,12,15,11,australia,second-semi-final,stockholm,2016
Georgia,13,7,17,17,16,australia,second-semi-final,stockholm,2016
Ireland,16,15,9,14,17,australia,second-semi-final,stockholm,2016
Israel,3,2,2,3,2,australia,second-semi-final,stockholm,2016
Latvia,15,12,7,8,10,australia,second-semi-final,stockholm,2016
Lithuania,4,6,5,4,6,australia,second-semi-final,stockholm,2016
